CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2018;Huesca;Máster: Dirección y planificación del turismo;Máster;Graduado;Mujeres;17;0;0;0;1.41;86.08;27/09/2020
2018;Huesca;Máster: Estudios Avanzados sobre el Lenguaje, la Comunicación y sus Patologías;Máster;Graduado;Mujeres;7;0;0;0;1.43;91.06;27/09/2020
2018;Huesca;Máster: Evaluación y Entrenamiento Físico para la Salud;Máster;Abandono Voluntario;Mujeres;0;1;1;0;;;27/09/2020
2018;Huesca;Máster: Evaluación y Entrenamiento Físico para la Salud;Máster;Graduado;Hombres;10;0;0;0;1.00;100.00;27/09/2020
2018;Huesca;Máster: Evaluación y Entrenamiento Físico para la Salud;Máster;Graduado;Mujeres;5;0;0;0;3.00;89.29;27/09/2020
2018;Huesca;Máster: Ingeniería Agronómica;Máster;Abandono Voluntario;Hombres;0;2;0;0;;;27/09/2020
2018;Huesca;Máster: Ingeniería Agronómica;Máster;Graduado;Hombres;3;0;0;0;2.00;95.74;27/09/2020
2018;Huesca;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;Abandono Voluntario;Hombres;0;1;0;0;;;27/09/2020
2018;Huesca;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;Graduado;Hombres;23;0;0;0;1.09;98.57;27/09/2020
2018;Huesca;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;Graduado;Mujeres;2;0;0;0;1.00;100.00;27/09/2020
2018;Teruel;Grado: Administración y Dirección de Empresas;Grado;Abandono Voluntario;Hombres;0;6;2;0;;;27/09/2020
2018;Teruel;Grado: Administración y Dirección de Empresas;Grado;Abandono Voluntario;Mujeres;0;5;2;0;;;27/09/2020
2018;Teruel;Grado: Administración y Dirección de Empresas;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;27/09/2020
2018;Teruel;Grado: Administración y Dirección de Empresas;Grado;Graduado;Hombres;3;0;0;0;5.00;86.18;27/09/2020
2018;Teruel;Grado: Administración y Dirección de Empresas;Grado;Graduado;Mujeres;13;0;0;0;5.46;91.34;27/09/2020
2018;Teruel;Grado: Administración y Dirección de Empresas;Grado;Traslado a otra Universidad;Hombres;0;0;0;1;;;27/09/2020
2018;Teruel;Grado: Administración y Dirección de Empresas;Grado;Traslado a otra Universidad;Mujeres;0;0;0;1;;;27/09/2020
2018;Teruel;Grado: Bellas Artes;Grado;Abandono Voluntario;Hombres;0;4;0;0;;;27/09/2020
2018;Teruel;Grado: Bellas Artes;Grado;Abandono Voluntario;Mujeres;0;8;2;0;;;27/09/2020
2018;Teruel;Grado: Bellas Artes;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;27/09/2020
2018;Teruel;Grado: Bellas Artes;Grado;Graduado;Hombres;14;0;0;0;4.38;92.25;27/09/2020
2018;Teruel;Grado: Bellas Artes;Grado;Graduado;Mujeres;19;0;0;0;4.61;92.69;27/09/2020
2018;Teruel;Grado: Bellas Artes;Grado;Incumple Régimen de permanencia;Hombres;0;1;1;0;;;27/09/2020
2018;Teruel;Grado: Bellas Artes;Grado;Traslado a otra Universidad;Hombres;0;0;0;2;;;27/09/2020
2018;Teruel;Grado: Bellas Artes;Grado;Traslado a otra Universidad;Mujeres;0;0;0;2;;;27/09/2020
2018;Teruel;Grado: Enfermería;Grado;Abandono Voluntario;Mujeres;0;1;0;0;;;27/09/2020
2018;Teruel;Grado: Enfermería;Grado;Graduado;Hombres;10;0;0;0;5.00;93.95;27/09/2020
2018;Teruel;Grado: Enfermería;Grado;Graduado;Mujeres;23;0;0;0;4.00;99.54;27/09/2020
2018;Teruel;Grado: Enfermería;Grado;Traslado a otra Universidad;Mujeres;0;0;0;2;;;27/09/2020
2018;Teruel;Grado: Ingeniería Electrónica y Automática;Grado;Abandono Voluntario;Hombres;0;4;0;0;;;27/09/2020
2018;Teruel;Grado: Ingeniería Electrónica y Automática;Grado;Abandono Voluntario;Mujeres;0;2;0;0;;;27/09/2020
2018;Teruel;Grado: Ingeniería Electrónica y Automática;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;0;0;;;27/09/2020
2018;Teruel;Grado: Ingeniería Electrónica y Automática;Grado;Graduado;Hombres;11;0;0;0;4.86;88.74;27/09/2020
2018;Teruel;Grado: Ingeniería Electrónica y Automática;Grado;Incumple Régimen de permanencia;Hombres;0;1;1;0;;;27/09/2020
2018;Teruel;Grado: Ingeniería Informática;Grado;Abandono Voluntario;Hombres;0;10;2;0;;;27/09/2020
2018;Teruel;Grado: Ingeniería Informática;Grado;Cambio de estudios sin simultaneidad;Hombres;0;3;1;0;;;27/09/2020
2018;Teruel;Grado: Ingeniería Informática;Grado;Graduado;Hombres;9;0;0;0;6.11;73.38;27/09/2020
2018;Teruel;Grado: Ingeniería Informática;Grado;Traslado a otra Universidad;Hombres;0;0;0;2;;;27/09/2020
2018;Teruel;Grado: Magisterio en Educación Infantil;Grado;Abandono Voluntario;Hombres;0;2;1;0;;;27/09/2020
2018;Teruel;Grado: Magisterio en Educación Infantil;Grado;Abandono Voluntario;Mujeres;0;15;7;0;;;27/09/2020
2018;Teruel;Grado: Magisterio en Educación Infantil;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;27/09/2020
2018;Teruel;Grado: Magisterio en Educación Infantil;Grado;Graduado;Hombres;4;0;0;0;5.00;87.68;27/09/2020
2018;Teruel;Grado: Magisterio en Educación Infantil;Grado;Graduado;Mujeres;76;0;0;0;4.47;90.09;27/09/2020
2018;Teruel;Grado: Magisterio en Educación Infantil;Grado;Traslado a otra Universidad;Mujeres;0;0;0;5;;;27/09/2020
2018;Teruel;Grado: Magisterio en Educación Primaria;Grado;Abandono Voluntario;Hombres;0;19;3;0;;;27/09/2020
2018;Teruel;Grado: Magisterio en Educación Primaria;Grado;Abandono Voluntario;Mujeres;0;10;8;0;;;27/09/2020
2018;Teruel;Grado: Magisterio en Educación Primaria;Grado;Graduado;Hombres;25;0;0;0;4.96;84.13;27/09/2020
2018;Teruel;Grado: Magisterio en Educación Primaria;Grado;Graduado;Mujeres;52;0;0;0;4.60;87.66;27/09/2020
2018;Teruel;Grado: Magisterio en Educación Primaria;Grado;Incumple Régimen de permanencia;Hombres;0;2;1;0;;;27/09/2020
2018;Teruel;Grado: Magisterio en Educación Primaria;Grado;Traslado a otra Universidad;Mujeres;0;0;0;4;;;27/09/2020
2018;Teruel;Grado: Psicología;Grado;Abandono Voluntario;Hombres;0;1;1;0;;;27/09/2020
2018;Teruel;Grado: Psicología;Grado;Abandono Voluntario;Mujeres;0;8;3;0;;;27/09/2020
2018;Teruel;Grado: Psicología;Grado;Graduado;Hombres;15;0;0;0;4.60;91.00;27/09/2020
2018;Teruel;Grado: Psicología;Grado;Graduado;Mujeres;70;0;0;0;4.29;93.35;27/09/2020
2018;Teruel;Grado: Psicología;Grado;Traslado a otra Universidad;Hombres;0;0;0;2;;;27/09/2020
2018;Teruel;Grado: Psicología;Grado;Traslado a otra Universidad;Mujeres;0;0;0;6;;;27/09/2020
2018;Teruel;Licenciado en Ciencias del Trabajo;Licenciatura o equivalente;Abandono Voluntario;Mujeres;0;1;0;0;;;27/09/2020
