CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2016;Escuela de Ingeniería y Arquitectura;Ingeniería Electrica;Grado;301;76;90;43;3;0;1;85;7;13;15720.50;1353.00;5.52;77.27;57.89;80.14;0.00;0.00;29/04/2018
2016;Escuela de Ingeniería y Arquitectura;Ingeniería Electrónica y Automática;Grado;377;116;120;35;2;0;1;80;10;3;19962.00;1515.50;5.21;71.86;55.42;85.48;0.00;0.00;29/04/2018
2016;Escuela Universitaria Politécnica de Teruel;Ingeniería Electrónica y Automática;Grado;78;19;30;8;0;0;0;23;1;3;3842.00;338.00;5.75;80.98;76.11;70.65;0.00;0.00;29/04/2018
2016;Escuela de Ingeniería y Arquitectura;Ingeniería Informática;Grado;371;92;90;50;0;0;0;96;12;9;19528.00;1091.00;4.95;82.97;71.03;86.38;0.00;0.00;29/04/2018
2016;Escuela Universitaria Politécnica de Teruel;Ingeniería Informática;Grado;114;31;33;6;0;0;0;15;;5;6040.00;406.00;5.67;71.36;58.40;77.56;0.00;0.00;29/04/2018
2016;Escuela de Ingeniería y Arquitectura;Ingeniería Mecánica;Grado;946;238;240;118;9;0;4;242;19;48;49359.00;4485.50;5.27;72.19;57.54;81.03;0.00;0.00;29/04/2018
2016;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Ingeniería Mecatrónica;Grado;193;51;60;26;0;0;0;49;4;5;10330.00;888.50;4.72;86.13;72.91;92.17;0.00;0.00;29/04/2018
2016;Escuela de Ingeniería y Arquitectura;Ingeniería Química;Grado;298;83;90;31;9;0;5;53;8;14;16490.00;449.00;4.64;77.67;62.49;87.49;0.00;0.00;29/04/2018
2016;Facultad de Filosofía y Letras;Lenguas Modernas;Grado;191;54;55;31;0;0;0;11;115;18;10464.00;295.50;4.45;90.99;79.54;91.99;0.00;0.00;29/04/2018
2016;Facultad de Derecho;Programa conjunto ADE/Derecho;Grado;461;80;80;0;0;0;0;121;1;53;32597.00;255.50;;95.40;92.65;;0.00;0.00;29/04/2018
2016;Escuela de Ingeniería y Arquitectura;Estudios en Arquitectura;Grado;357;68;70;60;0;0;0;58;27;42;20240.00;1084.00;5.43;83.14;74.38;93.75;0.00;0.00;29/04/2018
2016;Facultad de Filosofía y Letras;Biblioteconomía y Documentación;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Facultad de Derecho;Derecho;Licenciatura o equivalente;1;0;;13;0;0;0;14;;0;6.00;152.00;11.64;;;45.89;;;29/04/2018
2016;Facultad de Economía y Empresa;Diplomado Ciencias Empresariales;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Facultad de Filosofía y Letras;Filología Clásica;Licenciatura o equivalente;;;;2;;;0;2;;;;24.00;8.00;;;77.97;;;29/04/2018
2016;Facultad de Ciencias;Físicas;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Facultad de Empresa y Gestión Pública;Gestión y Administración Pública;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Escuela de Ingeniería y Arquitectura;Ingeniero de Telecomunicación;Licenciatura o equivalente;26;0;;24;0;0;0;11;;0;468.00;23.00;12.79;100.00;100.00;56.79;;;29/04/2018
2016;Escuela de Ingeniería y Arquitectura;Ingeniero en Informática;Licenciatura o equivalente;43;0;;34;0;0;0;17;;0;871.00;62.50;15.53;100.00;79.33;56.79;;;29/04/2018
2016;Centro Politécnico Superior;Ingeniero Industrial;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Escuela de Ingeniería y Arquitectura;Ingeniero Industrial;Licenciatura o equivalente;62;0;;51;0;0;0;29;;0;954.00;330.00;14.60;100.00;85.39;50.03;;;29/04/2018
2016;Escuela de Ingeniería y Arquitectura;Ingeniero Técnico en Electrónica Industrial;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Escuela Universitaria de Ingeniería Técnica Industrial;Ingeniero Técnico en Electrónica Industrial;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Ingeniero Técnico en Electrónica Industrial;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Escuela Politécnica Superior;Ingeniero Técnico en Explotaciones Agropecuarias;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Ingeniero Técnico en Informática de Sistemas;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Escuela Politécnica Superior;Ingeniero Técnico Industrial, E. Química Industrial;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Escuela Universitaria Politécnica de Teruel;Ingeniero Técnico de Telecomunicación;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Facultad de Educación;Profesorado de E.G.B. Ciencias;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Facultad de Ciencias;Químicas;Licenciatura o equivalente;1;0;;2;0;0;0;2;;0;6.00;5.00;16.00;;;46.61;;;29/04/2018
2016;Facultad de Ciencias Sociales y del Trabajo;Trabajo Social;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Facultad de Veterinaria;Veterinaria;Licenciatura o equivalente;7;0;;4;0;0;0;2;;0;108.50;155.00;16.67;100.00;62.09;32.16;;;29/04/2018
2016;Facultad de Filosofía y Letras;Filología Hispánica;Licenciatura o equivalente;2;0;;1;0;0;0;0;;0;36.00;0.00;23.00;100.00;50.00;57.84;;;29/04/2018
2016;Facultad de Filosofía y Letras;Filología Inglesa;Licenciatura o equivalente;1;0;;3;0;0;0;3;;0;6.00;13.00;15.00;100.00;100.00;41.77;;;29/04/2018
2016;Facultad de Filosofía y Letras;Filología Románica (Francés);Licenciatura o equivalente;;;;1;;;0;1;;;;6.00;12.00;;;45.54;;;29/04/2018
2016;Escuela Universitaria de Ingeniería Técnica Industrial;Ingeniero Técnico Industrial;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Ingeniero Técnico Agrícola;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Facultad de Ciencias;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;23;0;;;0;0;;0;5;0;698.00;0.00;;;;;;;29/04/2018
2016;Facultad de Derecho;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;58;0;;;0;0;;0;;0;1835.50;0.00;;;;;;;29/04/2018
2016;Facultad de Filosofía y Letras;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;257;0;;;0;0;;0;;0;10382.50;0.00;;;;;;;29/04/2018
2016;Facultad de Medicina;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;65;0;;;0;0;;0;;0;3630.00;0.00;;;;;;;29/04/2018
2016;Facultad de Veterinaria;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;29;0;;;0;0;;0;;0;1462.00;0.00;;;;;;;29/04/2018
2016;Facultad de Educación;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;15;0;;;0;0;;0;;0;535.00;0.00;;;;;;;29/04/2018
2016;Facultad de Ciencias Sociales y del Trabajo;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;34;0;;;0;0;;0;;0;1154.00;0.00;;;;;;;29/04/2018
2016;Facultad de Economía y Empresa;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;164;0;;;0;0;;0;;0;4964.00;0.00;;;;;;;29/04/2018
2016;Escuela de Ingeniería y Arquitectura;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;121;0;;;0;0;;1;;0;3316.00;6.00;;;;;;;29/04/2018
2016;Facultad de Ciencias de la Salud;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;15;0;;;0;0;;0;;0;454.00;0.00;;100.00;100.00;;;;29/04/2018
2016;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;35;0;;;0;0;;0;;0;1095.00;0.00;;;;;;;29/04/2018
2016;Escuela Universitaria de Turismo de Zaragoza;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;10;0;;;0;0;;0;;0;409.00;0.00;;;;;;;29/04/2018
2016;Escuela Politécnica Superior;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;5;0;;;0;0;;0;;0;156.00;0.00;;;;;;;29/04/2018
2016;Facultad de Ciencias Humanas y de la Educación;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;1;0;;;0;0;;0;;0;60.00;0.00;;;;;;;29/04/2018
2016;Facultad de Empresa y Gestión Pública;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;16;0;;;0;0;;4;;0;634.00;12.00;;;;;;;29/04/2018
2016;Facultad de Ciencias de la Salud y del Deporte;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;5;0;;;0;0;;0;;0;183.00;0.00;;;;;;;29/04/2018
2016;Escuela Universitaria de Enfermería San Jorge de Huesca;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;1;0;;;0;0;;0;;0;42.00;0.00;;100.00;100.00;;;;29/04/2018
2016;Facultad de Ciencias Sociales y Humanas de Teruel;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;29;0;;;0;0;;0;;0;998.00;0.00;;;;;;;29/04/2018
2016;Facultad de Educación;Maestro Educación Primaria;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Facultad de Ciencias Sociales y Humanas de Teruel;Maestro Educación Primaria;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Facultad de Educación;Maestro Lengua Extranjera;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Facultad de Ciencias Sociales y Humanas de Teruel;Maestro Lengua Extranjera;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Facultad de Veterinaria;Ciencia y Tecnología de los Alimentos;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Escuela de Ingeniería y Arquitectura;Ingenierio Químico;Licenciatura o equivalente;10;0;;9;0;0;0;4;;0;150.00;5.50;15.78;100.00;100.00;45.63;;;29/04/2018
2016;Facultad de Economía y Empresa;Licenciado en Economía;Licenciatura o equivalente;;;;2;;;0;2;;;;16.50;14.00;;;37.24;;;29/04/2018
2016;Facultad de Economía y Empresa;Licenciado en Administración y Dirección de Empresas;Licenciatura o equivalente;;;;1;;;0;1;;;;10.50;8.00;;;72.23;;;29/04/2018
2016;Facultad de Ciencias Humanas y de la Educación;Licenciado en Humanidades;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Facultad de Filosofía y Letras;Geografía;Licenciatura o equivalente;;;;1;;;0;1;;;;21.00;15.00;;;57.32;;;29/04/2018
2016;Facultad de Filosofía y Letras;Historia;Licenciatura o equivalente;3;0;;5;0;0;0;3;;0;18.00;22.50;10.80;100.00;100.00;62.38;;;29/04/2018
2016;Facultad de Filosofía y Letras;Historia del Arte;Licenciatura o equivalente;1;0;;1;0;0;0;1;;0;12.00;6.00;19.00;;;26.67;;;29/04/2018
2016;Facultad de Ciencias;Bioquímica;Licenciatura o equivalente;1;0;;1;0;0;0;0;;0;6.00;0.00;10.00;100.00;100.00;29.11;;;29/04/2018
2016;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Arquitectura Técnica;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Escuela Universitaria Politécnica de Teruel;Ingeniero Técnico en Informática de Gestión;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Escuela de Ingeniería y Arquitectura;Ingeniero Técnico Industrial, Esp.Química Industrial;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Escuela de Ingeniería y Arquitectura;Ingeniero Técnico Industrial, Esp. Electricidad;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Escuela de Ingeniería y Arquitectura;Ingeniero Técnico Industrial, Esp. Mecánica;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Escuela Universitaria de Ingeniería Técnica Industrial;Ingeniero Técnico Industrial, Esp. Mecánica;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Facultad de Ciencias;Licenciado en Geología;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Facultad de Ciencias de la Salud y del Deporte;Licenciado en Ciencias de la Actividad Física y del Deporte;Licenciatura o equivalente;;;;2;;;0;2;;;;18.00;16.00;;;56.06;;;29/04/2018
2016;Facultad de Ciencias Sociales y Humanas de Teruel;Licenciado en Ciencias del Trabajo;Licenciatura o equivalente;1;0;;0;0;0;0;0;;0;6.00;0.00;;;;;;;29/04/2018
2016;Escuela Universitaria de Turismo de Zaragoza;Diplomado en Turismo;Diplomatura o equivalente;;;;1;;;0;2;;;;21.50;;;;;;;29/04/2018
2016;Facultad de Ciencias;Licenciado en Matemáticas;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Facultad de Educación;Licenciado en Psicopedagogía;Licenciatura o equivalente;4;0;;0;0;0;0;0;;0;78.00;0.00;;28.57;15.38;;;;29/04/2018
2016;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Ingeniero Técnico Industrial, Especialidad Mecánica;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Facultad de Derecho;Programa Conjunto Derecho Administración y Dirección Empresas;Licenciatura o equivalente;1;0;;0;0;0;0;0;;0;10.50;0.00;;100.00;100.00;;;;29/04/2018
2016;Facultad de Ciencias de la Salud y del Deporte;Diplomado en Nutrición Humana;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Escuela Politécnica Superior;Ingeniero Agrónomo;Licenciatura o equivalente;46;0;;42;0;0;0;12;;0;480.00;157.00;9.71;98.67;96.10;73.04;;;29/04/2018
2016;Facultad de Medicina;Medicina;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Facultad de Filosofía y Letras;Licenciado en Filosofía;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Ingeniero Técnico en Obras Públicas, Esp. Construcciones Civiles;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2016;Facultad de Ciencias;Biología Molecular y Celular;Máster;27;25;30;25;0;0;0;0;1;0;1560.00;0.00;1.04;100.00;98.46;98.04;0.00;96.00;29/04/2018
