CURSO_ACADEMICO;NOMBRE_PROGRAMA_MOVILIDAD;NOMBRE_AREA_ESTUDIOS_MOV;CENTRO;IN_OUT;NOMBRE_IDIOMA_NIVEL_MOVILIDAD;PAIS_UNIVERSIDAD_ACUERDO;UNIVERSIDAD_ACUERDO;PLAZAS_OFERTADAS_ALUMNOS;PLAZAS_ASIGNADAS_ALUMNOS_OUT;FECHA_ACTUALIZACION
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Università Degli Studi Di Torino (Italia);1;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Università Degli Studi Di Padova 'Il Bo' (Italia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Università Degli Studi Di Macerata (Italia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Polonia;Uniwersytet Im. Adama Mickiewicza (Polonia);0;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Portugal;Universidade De Coimbra (Portugal);3;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;INGLÉS - B1 (Nivel intermedio);Grecia;Ethniko Kai Kapodistriako Panepistimio Athinon (Grecia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;No Informado;Italia;Università Degli Studi Di Verona (Italia);0;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;ALEMÁN - B1 (Nivel intermedio);Alemania;Westfälische Wilhelms-Universität Münster (Alemania);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;ALEMÁN - B1 (Nivel intermedio);Alemania;Universität Potsdam (Alemania);1;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;ESPAÑOL - B2 (Nivel avanzado);Grecia;Elliniko Anoikto Panepistimio - Hellenic Open University (Grecia);0;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;FRANCÉS - B1 (Nivel intermedio);Francia;Universite De Toulouse - Jean Jaurès (Francia);3;1;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;FRANCÉS - B1 (Nivel intermedio);Francia;Universite De Picardie Jules Verne (Francia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;FRANCÉS - B1 (Nivel intermedio);Francia;Universite Bordeaux Montaigne (Francia);3;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;FRANCÉS - B2 (Nivel avanzado);Francia;Universite De Paris-Sorbonne (Paris Iv) (Francia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;FRANCÉS - B2 (Nivel avanzado);Francia;Universite De Pau Et Des Pays De L'Adour (Francia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;INGLÉS - B1 (Nivel intermedio);Grecia;Ionio Panepistimio (Grecia);1;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;INGLÉS - B1 (Nivel intermedio);Italia;Università Degli Studi Di Verona (Italia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;INGLÉS - B1 (Nivel intermedio);Italia;Università Degli Studi Di Sassari (Italia);1;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;INGLÉS - B1 (Nivel intermedio);Italia;Università Di Pisa (Italia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;INGLÉS - B2 (Nivel avanzado);Grecia;Ethniko Kai Kapodistriako Panepistimio Athinon (Grecia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;ITALIANO - A2 (Nivel básico avanzado);Italia;Università Degli Studi Di Siena (Italia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;ITALIANO - A2 (Nivel básico avanzado);Italia;Università Degli Studi Di Padova 'Il Bo' (Italia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;ITALIANO - B1 (Nivel intermedio);Italia;Università Degli Studi Di Roma 'Tor Vergata' (Italia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;ITALIANO - B1 (Nivel intermedio);Italia;Università Degli Studi Della Calabria (Italia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;ITALIANO - B1 (Nivel intermedio);Italia;Università Degli Studi Di Macerata (Italia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;No Informado;Alemania;Freie Universität Berlin (Alemania);0;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;No Informado;Italia;Università Degli Studi 'G. D'Annunzio' Di Chieti (Italia);2;2;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;No Informado;Italia;Università Degli Studi Di Verona (Italia);0;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;No Informado;Italia;Università Degli Studi Di Torino (Italia);1;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;No Informado;Polonia;Uniwersytet Im. Adama Mickiewicza (Polonia);0;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;OUT;PORTUGUÉS - B1 (Nivel intermedio);Portugal;Universidade De Coimbra (Portugal);3;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Escuela de Doctorado;OUT;FRANCÉS - B1 (Nivel intermedio);Francia;Universite De Toulouse - Jean Jaurès (Francia);2;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Escuela de Doctorado;OUT;FRANCÉS - B2 (Nivel avanzado);Francia;Universite De Pau Et Des Pays De L'Adour (Francia);3;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Alemania;Christian-Albrechts-Universität Zu Kiel (Alemania);1;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Alemania;Eberhard-Karls-Universität Tübingen (Alemania);2;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Alemania;Technische Universität Dresden (Alemania);2;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Alemania;Freie Universität Berlin (Alemania);2;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Alemania;Universität Zu Köln (Alemania);2;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Bélgica;Universite Libre De Bruxelles (Bélgica);2;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Francia;Universite Pantheon-Sorbonne (Paris I) (Francia);1;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Francia;Universite De Pau Et Des Pays De L'Adour (Francia);1;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Francia;Universite De Toulouse - Jean Jaurès (Francia);3;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Francia;Universite Stendhal - Grenoble Iii (Francia);2;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Francia;Universite De Bourgogne - Dijon (Francia);2;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Francia;Universite Bordeaux Montaigne (Francia);2;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Francia;Universite De Poitiers (Francia);2;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Francia;Universite De Limoges (Francia);4;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Hungría;Eötvös Loránd Tudományegyetem (Hungría);2;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Hungría;Central European University (Hungría);2;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Irlanda (Eire);University College Dublin (Irlanda (Eire));2;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Irlanda (Eire);University Of Dublin - Trinity College (Irlanda (Eire));3;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Università Degli Studi Di Milano (Italia);2;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Università Degli Studi Di Genova (Italia);4;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Università Degli Studi Di Bari (Italia);3;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Libera Università 'Maria Ss. Assunta' Di Roma (Italia);5;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Università Degli Studi Di Roma 'La Sapienza' (Italia);4;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Università Degli Studi Di Napoli Federico Ii (Italia);2;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Università Degli Studi Di Salerno (Italia);9;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Università Degli Studi Di Firenze (Italia);2;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Università Degli Studi Di Bologna (Italia);4;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Università Degli Studi Di Ferrara (Italia);1;0;29/04/2018
2016;ERASMUS;0222-Historia y arqueología;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Polonia;Uniwersytet Im. Adama Mickiewicza (Polonia);2;0;29/04/2018
