CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;TIPO_CENTRO;TIPO_ESTUDIO;PLAZAS_OFERTADAS;PLAZAS_MATRICULADAS;PLAZAS_SOLICITADAS;INDICE_OCUPACION;FECHA_ACTUALIZACION
2016;PD Ciencias biomédicas y biotecnológicas;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;10;8;18;80.00;29/04/2018
2016;PD Ciencias de la salud y del deporte;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;30;35;55;116.67;29/04/2018
2016;PD Medicina;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;60;74;144;123.33;29/04/2018
2016;PD Medicina y sanidad animal;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;15;23;26;153.33;29/04/2018
2016;PD Contabilidad y finanzas;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;9;11;45.00;29/04/2018
2016;PD Derecho;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;24;36;120.00;29/04/2018
2016;PD Derechos humanos y libertades fundamentales;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;10;11;12;110.00;29/04/2018
2016;PD Economía;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;15;21;28;140.00;29/04/2018
2016;PD Economía y gestión de las organizaciones;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;9;17;45.00;29/04/2018
2016;PD Educación;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;25;30;44;120.00;29/04/2018
2016;PD Ordenación del territorio y medio ambiente;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;25;11;17;44.00;29/04/2018
2016;PD Relaciones de género y estudios feministas;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;30;5;10;16.67;29/04/2018
2016;PD Sociología de las políticas públicas y sociales;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;16;22;80.00;29/04/2018
2016;PD Ciencias agrarias y del medio natural;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;30;3;7;10.00;29/04/2018
2016;PD Energías renovables y eficiencia energética;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;12;19;60.00;29/04/2018
2016;PD Ingeniería biomédica;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;25;13;18;52.00;29/04/2018
2016;PD Ingeniería de diseño y fabricación;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;25;8;8;32.00;29/04/2018
2016;PD Ingeniería de sistemas e informática;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;30;13;22;43.33;29/04/2018
2016;PD Ingeniería electrónica;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;10;7;9;70.00;29/04/2018
2016;PD Ingeniería mecánica;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;25;10;15;40.00;29/04/2018
2016;PD Ingeniería química y del medio ambiente;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;60;19;30;31.67;29/04/2018
2016;PD Mecánica de fluídos;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;3;2;6;66.67;29/04/2018
2016;PD Nuevos territorios en la arquitectura;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;10;10;14;100.00;29/04/2018
2016;PD Tecnologías de la información y comunicaciones en redes moviles;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;10;8;14;80.00;29/04/2018
2016;PD Información y Comunicación;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;7;7;9;100.00;29/04/2018
2016;PD Patrimonio, Sociedades y Espacios de Frontera;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;8;4;5;50.00;29/04/2018
2016;PD Logística y gestión de la cadena de suministro;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;8;2;3;25.00;29/04/2018
2016;;Zaragoza;Facultad de Ciencias;Facultad;Máster;40;0;7;0.00;29/04/2018
2016;;Huesca;Escuela Politécnica Superior;Facultad;Máster;20;0;4;0.00;29/04/2018
