CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2017;Huesca;Grado: Magisterio en Educación Infantil;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;2;2;0;;;05/01/2020
2017;Huesca;Grado: Magisterio en Educación Infantil;Grado;Graduado;Hombres;7;0;0;0;5.00;84.71;05/01/2020
2017;Huesca;Grado: Magisterio en Educación Infantil;Grado;Graduado;Mujeres;97;0;0;0;4.37;91.64;05/01/2020
2017;Huesca;Grado: Magisterio en Educación Primaria;Grado;Abandono Voluntario;Hombres;0;11;6;0;;;05/01/2020
2017;Huesca;Grado: Magisterio en Educación Primaria;Grado;Abandono Voluntario;Mujeres;0;11;4;0;;;05/01/2020
2017;Huesca;Grado: Magisterio en Educación Primaria;Grado;Cambio de estudios sin simultaneidad;Hombres;0;2;1;0;;;05/01/2020
2017;Huesca;Grado: Magisterio en Educación Primaria;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;2;2;0;;;05/01/2020
2017;Huesca;Grado: Magisterio en Educación Primaria;Grado;Graduado;Hombres;38;0;0;0;4.97;85.03;05/01/2020
2017;Huesca;Grado: Magisterio en Educación Primaria;Grado;Graduado;Mujeres;35;0;0;0;4.81;90.85;05/01/2020
2017;Huesca;Grado: Medicina;Grado;Abandono Voluntario;Hombres;0;2;1;0;;;05/01/2020
2017;Huesca;Grado: Medicina;Grado;Abandono Voluntario;Mujeres;0;1;0;0;;;05/01/2020
2017;Huesca;Grado: Medicina;Grado;Traslado a otra Universidad;Mujeres;0;0;0;3;;;05/01/2020
2017;Huesca;Grado: Nutrición Humana y Dietética;Grado;Abandono Voluntario;Hombres;0;2;2;0;;;05/01/2020
2017;Huesca;Grado: Nutrición Humana y Dietética;Grado;Abandono Voluntario;Mujeres;0;11;3;0;;;05/01/2020
2017;Huesca;Grado: Nutrición Humana y Dietética;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;05/01/2020
2017;Huesca;Grado: Nutrición Humana y Dietética;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;2;2;0;;;05/01/2020
2017;Huesca;Grado: Nutrición Humana y Dietética;Grado;Graduado;Hombres;9;0;0;0;4.33;94.72;05/01/2020
