CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;TIPO_CENTRO;TIPO_ESTUDIO;PLAZAS_OFERTADAS;PLAZAS_MATRICULADAS;PLAZAS_SOLICITADAS;INDICE_OCUPACION;FECHA_ACTUALIZACION
2017;Máster: Ingeniería Mecánica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;30;19;31;63.33;13/01/2019
2017;Máster: Química Industrial;Zaragoza;Facultad de Ciencias;Facultad;Máster;50;22;41;44.00;13/01/2019
2017;Máster: Geología: Técnicas y Aplicaciones;Zaragoza;Facultad de Ciencias;Facultad;Máster;30;13;18;43.33;13/01/2019
2017;Máster: Química Molecular y Catálisis Homogénea;Zaragoza;Facultad de Ciencias;Facultad;Máster;25;19;35;76.00;13/01/2019
2017;Máster: Auditoría;Zaragoza;Facultad de Economía y Empresa;Facultad;Máster;32;31;74;96.88;13/01/2019
2017;Máster: Ingeniería Agronómica;Huesca;Escuela Politécnica Superior;Facultad;Máster;25;11;18;44.00;13/01/2019
2017;Máster: Evaluación y Entrenamiento Físico para la Salud;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Máster;20;11;34;55.00;13/01/2019
2017;Máster: Mundo Antiguo y Patrimonio Arqueológico;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;30;13;27;43.33;13/01/2019
2017;Máster: Iniciación a la Investigación en Ciencias de la Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Máster;30;18;60;60.00;13/01/2019
2017;Máster: Dirección, Estrategia y Marketing;Zaragoza;Facultad de Economía y Empresa;Facultad;Máster;30;10;102;33.33;13/01/2019
2017;Máster: Psicología General Sanitaria;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Máster;30;30;131;100.00;13/01/2019
2017;Máster: Ingeniería de Diseño de Producto;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;30;12;32;40.00;13/01/2019
2017;Máster: Literaturas Hispánicas y Lengua Española: Tradición e Identidades;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;25;5;79;20.00;13/01/2019
2017;Máster: Consultoría de Información y Comunicación Digital;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;25;22;57;88.00;13/01/2019
2017;Máster: Calidad, Seguridad y Tecnología de los Alimentos;Zaragoza;Facultad de Veterinaria;Facultad;Máster;30;24;69;80.00;13/01/2019
2017;Máster: Biotecnología Cuantitativa;Zaragoza;Facultad de Ciencias;Facultad;Máster;20;10;23;50.00;13/01/2019
2017;Máster: Gestión Administrativa;Zaragoza;Facultad de Derecho;Facultad;Máster;30;15;60;50.00;13/01/2019
2017;Máster: Investigación en Filosofía;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;12;9;14;75.00;13/01/2019
2017;Doctorado: PD en Ciencias de la antigüedad [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;30;8;9;26.67;13/01/2019
2017;Doctorado: PD Estudios ingleses [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;12;8;10;66.67;13/01/2019
2017;Doctorado: PD Literaturas hispánicas [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;25;7;9;28.00;13/01/2019
2017;Doctorado: PD Filosofía [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;8;7;8;87.50;13/01/2019
2017;Doctorado: PD Historia contemporánea [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;15;6;10;40.00;13/01/2019
2017;Máster: Dirección y Gestión de Adquisiciones de Sistemas para la Defensa;Zaragoza;Centro Universitario de la Defensa de Zaragoza;Centro adscrito;Máster;30;29;36;96.67;13/01/2019
2017;Doctorado: PD Historia del arte [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;8;13;40.00;13/01/2019
2017;Doctorado: PD Historia, sociedad y cultura: épocas medieval y moderna [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;8;4;5;50.00;13/01/2019
2017;Doctorado: PD Lingüística hispánica [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;9;11;45.00;13/01/2019
