CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2018;Facultad de Ciencias;2-Materiales nanoestructurados para aplicaciones nanotecnológicas;Máster;13;12;25;11;0;0;0;0;3;0;734.00;0.00;1.00;100.00;95.50;100.00;0.00;91.67;27/09/2020
2018;Facultad de Filosofía y Letras;2-Traducción de textos especializados;Máster;3;0;;3;0;0;0;0;;0;18.00;0.00;4.67;100.00;100.00;78.95;;;27/09/2020
2018;Facultad de Economía y Empresa;2-Sociología de las Políticas Públicas y Sociales;Máster;23;17;25;18;0;0;0;0;5;0;1080.00;0.00;1.07;100.00;96.30;94.10;0.00;100.00;27/09/2020
2018;Facultad de Economía y Empresa;2-Unión Europea;Máster;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Facultad de Educación;2-Aprendizaje a lo largo de la vida: Iniciación a la investigación;Máster;27;18;40;12;0;0;0;11;;0;1033.00;144.00;1.00;99.16;80.45;94.75;12.50;75.00;27/09/2020
2018;Facultad de Filosofía y Letras;2-Investigación y Estudios Avanzados en Historia;Máster;13;11;40;12;0;0;0;0;1;0;726.00;0.00;1.17;100.00;98.35;91.60;0.00;90.91;27/09/2020
2018;Facultad de Filosofía y Letras;2-Estudios Avanzados en Historia del Arte;Máster;25;21;35;11;0;0;0;4;;0;1191.00;120.00;1.18;89.94;77.71;96.51;6.25;75.00;27/09/2020
2018;Escuela de Ingeniería y Arquitectura;2-Energías Renovables y Eficiencia Energética;Máster;42;16;75;18;0;0;0;3;32;2;1429.00;22.00;2.08;96.57;81.88;96.60;18.18;54.55;27/09/2020
2018;Facultad de Filosofía y Letras;2-Historia Contemporánea;Máster;23;18;40;10;0;0;0;0;3;1;1040.00;0.00;1.11;98.82;82.27;93.75;15.38;69.23;27/09/2020
2018;Facultad de Filosofía y Letras;2-Ordenación Territorial y Medioambiental;Máster;21;18;25;11;0;0;0;0;5;0;1074.00;0.00;1.10;96.53;77.65;98.06;0.00;83.33;27/09/2020
